Year,Category,Region,Month,CPI,Date
2014,All items,US,Jan,233.916,2014-01-01
2015,All items,US,Jan,233.707,2015-01-01
2016,All items,US,Jan,236.916,2016-01-01
2017,All items,US,Jan,242.839,2017-01-01
2018,All items,US,Jan,247.867,2018-01-01
2019,All items,US,Jan,251.712,2019-01-01
2020,All items,US,Jan,257.971,2020-01-01
2021,All items,US,Jan,261.582,2021-01-01
2022,All items,US,Jan,281.148,2022-01-01
2023,All items,US,Jan,299.17,2023-01-01
2014,Transportation,US,Jan,213.45,2014-01-01
2015,Transportation,US,Jan,190.871,2015-01-01
2016,Transportation,US,Jan,190.162,2016-01-01
2017,Transportation,US,Jan,199.292,2017-01-01
2018,Transportation,US,Jan,205.338,2018-01-01
2019,Transportation,US,Jan,202.57,2019-01-01
2020,Transportation,US,Jan,208.284,2020-01-01
2021,Transportation,US,Jan,205.631,2021-01-01
2022,Transportation,US,Jan,248.424,2022-01-01
2023,Transportation,US,Jan,257.874,2023-01-01
2014,All items less food and energy,US,Jan,235.367,2014-01-01
2015,All items less food and energy,US,Jan,239.248,2015-01-01
2016,All items less food and energy,US,Jan,244.528,2016-01-01
2017,All items less food and energy,US,Jan,250.083,2017-01-01
2018,All items less food and energy,US,Jan,254.638,2018-01-01
2019,All items less food and energy,US,Jan,260.122,2019-01-01
2020,All items less food and energy,US,Jan,266.004,2020-01-01
2021,All items less food and energy,US,Jan,269.755,2021-01-01
2022,All items less food and energy,US,Jan,285.996,2022-01-01
2023,All items less food and energy,US,Jan,301.962,2023-01-01
2014,Housing,US,Jan,230.256,2014-01-01
2015,Housing,US,Jan,235.485,2015-01-01
2016,Housing,US,Jan,240.424,2016-01-01
2017,Housing,US,Jan,247.942,2017-01-01
2018,Housing,US,Jan,254.857,2018-01-01
2019,Housing,US,Jan,262.284,2019-01-01
2020,Housing,US,Jan,269.468,2020-01-01
2021,Housing,US,Jan,274.336,2021-01-01
2022,Housing,US,Jan,289.889,2022-01-01
2023,Housing,US,Jan,313.747,2023-01-01
2014,Energy,US,Jan,239.551,2014-01-01
2015,Energy,US,Jan,192.619,2015-01-01
2016,Energy,US,Jan,180.171,2016-01-01
2017,Energy,US,Jan,199.608,2017-01-01
2018,Energy,US,Jan,210.663,2018-01-01
2019,Energy,US,Jan,200.563,2019-01-01
2020,Energy,US,Jan,213.043,2020-01-01
2021,Energy,US,Jan,205.273,2021-01-01
2022,Energy,US,Jan,260.653,2022-01-01
2023,Energy,US,Jan,283.33,2023-01-01
2014,Food and beverages,US,Jan,238.792,2014-01-01
2015,Food and beverages,US,Jan,246.1,2015-01-01
2016,Food and beverages,US,Jan,248.241,2016-01-01
2017,Food and beverages,US,Jan,248.074,2017-01-01
2018,Food and beverages,US,Jan,252.109,2018-01-01
2019,Food and beverages,US,Jan,256.185,2019-01-01
2020,Food and beverages,US,Jan,260.638,2020-01-01
2021,Food and beverages,US,Jan,270.26,2021-01-01
2022,Food and beverages,US,Jan,288.264,2022-01-01
2023,Food and beverages,US,Jan,316.705,2023-01-01
2014,Medical care,US,Jan,429.621,2014-01-01
2015,Medical care,US,Jan,440.969,2015-01-01
2016,Medical care,US,Jan,454.175,2016-01-01
2017,Medical care,US,Jan,471.7,2017-01-01
2018,Medical care,US,Jan,481.06,2018-01-01
2019,Medical care,US,Jan,490.204,2019-01-01
2020,Medical care,US,Jan,512.149,2020-01-01
2021,Medical care,US,Jan,522.133,2021-01-01
2022,Medical care,US,Jan,535.048,2022-01-01
2023,Medical care,US,Jan,551.422,2023-01-01
2014,Education,US,Jan,228.373,2014-01-01
2015,Education,US,Jan,236.82,2015-01-01
2016,Education,US,Jan,244.71,2016-01-01
2017,Education,US,Jan,251.122,2017-01-01
2018,Education,US,Jan,256.15,2018-01-01
2019,Education,US,Jan,263.125,2019-01-01
2020,Education,US,Jan,268.841,2020-01-01
2021,Education,US,Jan,272.238,2021-01-01
2022,Education,US,Jan,278.087,2022-01-01
2023,Education,US,Jan,287.509,2023-01-01
2014,All items,Midwest,Jan,222.247,2014-01-01
2015,All items,Midwest,Jan,221.545,2015-01-01
2016,All items,Midwest,Jan,223.301,2016-01-01
2017,All items,Midwest,Jan,228.279,2017-01-01
2018,All items,Midwest,Jan,232.028,2018-01-01
2019,All items,Midwest,Jan,233.837,2019-01-01
2020,All items,Midwest,Jan,239.69,2020-01-01
2021,All items,Midwest,Jan,242.552,2021-01-01
2022,All items,Midwest,Jan,261.657,2022-01-01
2023,All items,Midwest,Jan,277.332,2023-01-01
2014,All items,Northeast,Jan,251.045,2014-01-01
2015,All items,Northeast,Jan,250.016,2015-01-01
2016,All items,Northeast,Jan,251.739,2016-01-01
2017,All items,Northeast,Jan,258.073,2017-01-01
2018,All items,Northeast,Jan,262.188,2018-01-01
2019,All items,Northeast,Jan,266.109,2019-01-01
2020,All items,Northeast,Jan,272.316,2020-01-01
2021,All items,Northeast,Jan,275.427,2021-01-01
2022,All items,Northeast,Jan,292.644,2022-01-01
2023,All items,Northeast,Jan,310.323,2023-01-01
2014,All items,South,Jan,227.673,2014-01-01
2015,All items,South,Jan,226.855,2015-01-01
2016,All items,South,Jan,229.469,2016-01-01
2017,All items,South,Jan,235.492,2017-01-01
2018,All items,South,Jan,239.772,2018-01-01
2019,All items,South,Jan,242.547,2019-01-01
2020,All items,South,Jan,248.005,2020-01-01
2021,All items,South,Jan,252.067,2021-01-01
2022,All items,South,Jan,271.634,2022-01-01
2023,All items,South,Jan,290.438,2023-01-01
2014,All items,West,Jan,236.707,2014-01-01
2015,All items,West,Jan,238.318,2015-01-01
2016,All items,West,Jan,244.6,2016-01-01
2017,All items,West,Jan,250.814,2017-01-01
2018,All items,West,Jan,258.638,2018-01-01
2019,All items,West,Jan,265.624,2019-01-01
2020,All items,West,Jan,273.34,2020-01-01
